Official Name of Satellite,Country/Organization of UN Registry,Operator/Owner,Country of Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of Geosynchronous Orbit (Degrees),Perigee (Kilometers),Apogee (Kilometers),Eccentricity,Inclination (Degrees),Period (Minutes),Launch Mass (Kilograms),Dry Mass (Kilograms),Power (Watts),Date of Launch,Expected Lifetime (Years),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Year of Launch_1974,Year of Launch_1978,Year of Launch_1988,Year of Launch_1989,Year of Launch_1990,Year of Launch_1991,Year of Launch_1992,Year of Launch_1993,Year of Launch_1994,Year of Launch_1995,Year of Launch_1996,Year of Launch_1997,Year of Launch_1998,Year of Launch_1999,Year of Launch_2000,Year of Launch_2001,Year of Launch_2002,Year of Launch_2003,Year of Launch_2004,Year of Launch_2005,Year of Launch_2006,Year of Launch_2007,Year of Launch_2008,Year of Launch_2009,Year of Launch_2010,Year of Launch_2011,Year of Launch_2012,Year of Launch_2013,Year of Launch_2014,Year of Launch_2015,Year of Launch_2016
Samba,ESA,European Space Agency (and 250 international scientific investigators),ESA,Government,Space Science,,Elliptical,Deep Highly Eccentric,0.0,22017.0,110791.0,0.61,132.98,3430.28,1200,478,220,2000-07-16,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-041B,26411.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SAMSAT 218D,NR,Samara State Aerospace University,Russia,Civil,Technology Development,,LEO,Sun-Synchronous,0.0,467.0,486.0,0.00139,97.27,94.13,2,,,2016-04-27,,Samara State Aerospace University,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026C,41466.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sapphire,Canada,Department of National Defense,Canada,Military,Space Observation,,LEO,Non-Polar Inclined,0.0,772.0,787.0,0.00105,132.98,100.4,148,,,2013-02-25,5,"Surrey Satellite Technology Ltd/MacDonald, Dettwiler and Associates",UK/Canada,Satish Dhawan Space Center,PSLV,2013-009C,39088.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
SARAL,NR,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),India/France,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,782.0,785.0,0.00021,98.5,100.53,407,,906,2013-02-25,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV,2013-009A,39086.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
SAR-Lupe 1,Germany,Armed Forces,Germany,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.0,468.0,505.0,0.0027,98.2,94.3,770,,,2006-12-19,10,OHB System-AG,Germany,Plesetsk Cosmodrome,Kosmos 3M,2006-060A,29658.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
SAR-Lupe 2,Germany,Armed Forces,Germany,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.0,470.0,503.0,0.00241,98.19,94.34,770,,,2007-07-02,10,OHB-System AG ,Germany,Plesetsk Cosmodrome,Kosmos 3M,2007-030A,31797.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
SAR-Lupe 3,Germany,Armed Forces,Germany,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.0,473.0,496.0,0.00168,98.17,94.3,770,,,2007-11-01,10,OHB-System AG ,Germany,Plesetsk Cosmodrome,Kosmos 3M,2007-053A,32283.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
SAR-Lupe 4,Germany,Armed Forces,Germany,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.0,448.0,486.0,0.00278,98.16,94.4,770,,,2008-03-27,10,OHB-System AG ,Germany,Plesetsk Cosmodrome,Kosmos 3M,2008-014A,32750.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
SAR-Lupe 5,Germany,Armed Forces,Germany,Military,Earth Observation,Radar Imaging,LEO,Non-Polar Inclined,0.0,474.0,502.0,0.00204,98.16,94.37,770,,,2008-07-22,10,OHB-System AG ,Germany,Plesetsk Cosmodrome,Kosmos 3M,2008-036A,33244.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Sathyabamasat,NR,Sathyabama University/IRSO,India,Civil,Earth Science,,LEO,Sun-Synchronous,0.0,501.0,517.0,0.00116,97.5,94.8,2,,,2016-06-22,,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV XL,2016-040B,41600.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Saudicomsat-1,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,697.0,747.0,0.00353,98.0,99.2,12,,,2004-06-29,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025D,28369.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Saudicomsat-2 ,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Technology Development,,LEO,Sun-Synchronous,0.0,696.0,780.0,0.00591,98.1,99.6,12,,,2004-06-29,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025E,28370.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Saudicomsat-3,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,,LEO,Sun-Synchronous,0.0,652.0,714.0,0.0044,97.8,98.4,12,,,2007-04-17,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr ,2007-012J,31125.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Saudicomsat-4,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,,LEO,Sun-Synchronous,0.0,649.0,746.0,0.00686,97.8,98.7,12,,,2007-04-17,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012L,31127.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Saudicomsat-5,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,,LEO,Sun-Synchronous,0.0,651.0,725.0,0.00524,97.8,98.5,12,,,2007-04-17,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012H,31124.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Saudicomsat-6,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,,LEO,Sun-Synchronous,0.0,648.0,758.0,0.00778,97.8,98.8,12,,,2007-04-17,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012E,31121.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Saudicomsat-7,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,,LEO,Sun-Synchronous,0.0,650.0,736.0,0.00609,97.8,98.6,12,,,2007-04-17,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012C,31119.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Saudisat 1C,Saudi Arabia,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Government,Communications,Amateur Radio,LEO,Non-Polar Inclined,0.0,603.0,702.0,0.00705,64.6,97.8,10,,,2002-12-20,,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2002-058C,27607.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Saudisat-2 ,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,696.0,734.0,0.00268,97.9,99.1,35,35,,2004-06-29,,Riyadh Space Research Institute,Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025F,28371.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Saudisat-3,Saudi Arabia,Riyadh Space Research Institute,Saudi Arabia,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0.0,656.0,677.0,0.00149,97.8,98.1,200,,,2007-04-17,,King Abdulaziz City for Science and Technology,Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012B,31118.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Saudisat-4,Saudi Arabia,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Government,Space Science,,LEO,Sun-Synchronous,0.0,613.0,682.0,0.00492,97.98,97.68,100,,,2014-06-19,,King Abdulaziz City for Science and Technology/Stanford University,Saudi Arabia,Dombarovsky Air Base,Dnepr,2014-033G,40016.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
USA 230,USA,US Air Force,USA,Military,Earth Observation,Infrared Imaging,GEO,,-96.84,35778.0,35795.0,0.000202,6.45,1436.11,4500,,,2011-05-07,12,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2011-019A,37481.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
